r (mm),uz (km/s),name,r (mm),uz (km/s),name,r (mm),uz (km/s),name,r (mm),uz (km/s),name,r (mm),uz (km/s),name
-19.813503380319037,92.09681711730892,-0.10,-26.233171424152726,78.732701724505,0.10,-17.721507114135477,66.7753353204173,0.16,-19.034925323671086,63.25846284862678,0.34,-26.039402810304455,59.03821588247814,0.56
-18.061702752861127,83.6563231850117,-0.10,-24.481370796694815,75.91920374707263,0.10,-14.21790585921965,44.97072599531617,0.16,-17.283124696213175,56.22471790504579,0.34,-24.287602182846545,47.08084947839046,0.56
-14.5581014979453,82.24957419629553,-0.10,-22.729570169236908,75.21582925271449,0.10,-8.962503976845918,36.53023206301896,0.16,-15.531324068755257,52.70784543325527,0.34,-22.535801555388634,49.89434745582287,0.56
-11.05450024302947,87.87657015116034,-0.10,-20.977769541778986,57.63146689376202,0.10,-5.458902721930096,18.94586970406641,0.16,-12.027722813839436,51.3010964445391,0.34,-20.589356413768726,48.48759846710664,0.56
-7.356254473951663,76.62257824143072,-0.10,-19.225968914321076,49.89434745582287,0.10,-1.7606569528522813,20.35261869278264,0.16,-10.275922186381525,47.08084947839046,0.34,-18.83755578631082,38.6403555460933,0.56
-3.8526532190358336,85.76644666808602,-0.10,-17.474168286863165,48.48759846710664,0.10,-0.008856325394370562,46.37747498403235,0.16,-8.524121558923614,32.30998509687038,0.34,-17.085755158852905,33.01335959122844,0.56
8.604595687331535,73.1057057696402,-0.10,-15.527723145243261,47.78422397274858,0.10,1.7429443020635402,21.05599318714076,0.16,-4.8258757898458,16.83574622099212,0.34,-15.333954531394998,27.386363636363622,0.56
12.108196942247357,83.6563231850117,-0.10,-13.77592251778535,39.34373004045136,0.10,3.4947449295214503,28.08973813072174,0.16,-3.0740751623878895,20.35261869278264,0.34,-13.582153903937087,28.08973813072174,0.56
13.85999756970527,85.0630721737279,-0.10,-12.02412189032744,40.75047902916759,0.10,5.246545556979376,33.71673408558655,0.16,0.42952609252793206,18.94586970406641,0.34,-11.830353276479176,19.64924419842453,0.56
,,,-10.272321262869529,32.30998509687038,0.10,6.9983461844372865,33.01335959122844,0.16,2.1813267199858424,13.3188737492016,0.34,-4.62850625248554,3.4716308281882675,0.56
,,,-8.520520635411618,32.30998509687038,0.10,8.944791326057176,40.04710453480942,0.16,3.933127347443768,18.94586970406641,0.34,0.6268956298881929,15.42899723227589,0.56
,,,-6.768720007953707,45.67410048967429,0.10,10.696591953515089,44.97072599531617,0.16,5.684927974901679,27.386363636363622,0.34,2.3786962573461037,11.912124760485426,0.56
,,,-5.016919380495796,21.759367681498816,0.10,12.448392580972998,44.26735150095806,0.16,7.631373116521568,32.30998509687038,0.34,4.130496884804014,18.94586970406641,0.56
,,,-3.0704742388758928,33.71673408558655,0.10,14.200193208430909,55.52134341068768,0.16,9.38317374397948,33.71673408558655,0.34,6.076942026423918,18.94586970406641,0.56
,,,2.184927643497839,32.30998509687038,0.10,15.95199383588882,63.96183734298489,0.16,11.13497437143739,35.12348307430278,0.34,,,
,,,3.9367282709557645,42.86060251224188,0.10,,,,12.692130484733323,44.26735150095806,0.34,,,
,,,,,,,,,14.638575626353212,52.00447093889716,0.34,,,
