r (mm),uz_root1 (km/s),cbt_root1 (m),uz0_root1 (m/s),uz_root2 (km/s),cbt_root2 (m),uz0_root2 (m/s),uz_root3 (km/s),cbt_root3 (m),uz0_root3 (m/s),uz_root4 (km/s),cbt_root4 (m),uz0_root4 (m/s)
-24.703724979011103,78.51428163705906,0.06533872843823789,(-1852126.4944950182+3325293.6533415713j),78.51428163705906,0.06533872843823789,(-1852126.4944950182-3325293.6533415713j),78.732701724505,0.061788123848026504,(3701439.376332335+0j),78.732701724505,3.570198351320307e-08,(2813.6126576995207+0j)
-24.686030023178194,78.46346250447161,0.06533872843823789,(-1852126.4944950182+3325293.6533415713j),78.46346250447161,0.06533872843823789,(-1852126.4944950182-3325293.6533415713j),78.67768662561173,0.061788123848026504,(3701439.376332335+0j),78.73270055433434,3.570198351320307e-08,(2813.6126576995207+0j)
-24.668335067345286,78.41311947423459,0.06533872843823789,(-1852126.4944950182+3325293.6533415713j),78.41311947423459,0.06533872843823789,(-1852126.4944950182-3325293.6533415713j),78.62318452823484,0.061788123848026504,(3701439.376332335+0j),78.73269936003719,3.570198351320307e-08,(2813.6126576995207+0j)
-24.650640111512377,78.36325332171315,0.06533872843823789,(-1852126.4944950182+3325293.6533415713j),78.36325332171315,0.06533872843823789,(-1852126.4944950182-3325293.6533415713j),78.56919631603478,0.061788123848026504,(3701439.376332335+0j),78.73269814085964,3.570198351320307e-08,(2813.6126576995207+0j)
-24.63294515567947,78.31386482351202,0.06533872843823789,(-1852126.4944950182+3325293.6533415713j),78.31386482351202,0.06533872843823789,(-1852126.4944950182-3325293.6533415713j),78.51572287416451,0.061788123848026504,(3701439.376332335+0j),78.732696896016,3.570198351320307e-08,(2813.6126576995207+0j)
-24.61525019984656,78.2649547574779,0.06533872843823789,(-1852126.4944950182+3325293.6533415713j),78.2649547574779,0.06533872843823789,(-1852126.4944950182-3325293.6533415713j),78.46276508927252,0.061788123848026504,(3701439.376332335+0j),78.73269562468718,3.570198351320307e-08,(2813.6126576995207+0j)
-24.597555244013652,78.21652390270154,0.06533872843823789,(-1852126.4944950182+3325293.6533415713j),78.21652390270154,0.06533872843823789,(-1852126.4944950182-3325293.6533415713j),78.41032384950557,0.061788123848026504,(3701439.376332335+0j),78.73269432601886,3.570198351320307e-08,(2813.6126576995207+0j)
-24.579860288180747,78.16857303951996,0.06533872843823789,(-1852126.4944950182+3325293.6533415713j),78.16857303951996,0.06533872843823789,(-1852126.4944950182-3325293.6533415713j),78.35840004451144,0.061788123848026504,(3701439.376332335+0j),78.73269299911955,3.570198351320307e-08,(2813.6126576995207+0j)
-24.562165332347835,78.12110294951859,0.06533872843823789,(-1852126.4944950182+3325293.6533415713j),78.12110294951859,0.06533872843823789,(-1852126.4944950182-3325293.6533415713j),78.30699456544178,0.061788123848026504,(3701439.376332335+0j),78.73269164305857,3.570198351320307e-08,(2813.6126576995207+0j)
-24.544470376514926,78.0741144155337,0.06533872843823789,(-1852126.4944950182+3325293.6533415713j),78.0741144155337,0.06533872843823789,(-1852126.4944950182-3325293.6533415713j),78.25610830495496,0.061788123848026504,(3701439.376332335+0j),78.73269025686392,3.570198351320307e-08,(2813.6126576995207+0j)
