r (mm),uz_root1 (km/s),cbt_root1 (m),uz0_root1 (m/s),uz_root2 (km/s),cbt_root2 (m),uz0_root2 (m/s),uz_root3 (km/s),cbt_root3 (m),uz0_root3 (m/s),uz_root4 (km/s),cbt_root4 (m),uz0_root4 (m/s)
-17.891166983341442,90.8092847650138,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),90.8092847650138,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),92.09681711730892,0.028473443091474565,(2512685.478022703+0j),92.09681711730892,3.215276048984602e-07,(8443.592573555234+0j)
-17.873472027508534,90.67284956852876,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),90.67284956852876,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),91.93685588674703,0.028473443091474565,(2512685.478022703+0j),92.0967855073125,3.215276048984602e-07,(8443.592573555234+0j)
-17.855777071675625,90.53758727716472,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),90.53758727716472,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),91.77824013390105,0.028473443091474565,(2512685.478022703+0j),92.09675324574671,3.215276048984602e-07,(8443.592573555234+0j)
-17.83808211584272,90.40350180393379,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),90.40350180393379,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),91.62097492472878,0.028473443091474565,(2512685.478022703+0j),92.09672031225575,3.215276048984602e-07,(8443.592573555234+0j)
-17.820387160009812,90.27059707439494,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),90.27059707439494,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),91.46506534341731,0.028473443091474565,(2512685.478022703+0j),92.096686685627,3.215276048984602e-07,(8443.592573555234+0j)
-17.802692204176903,90.13887702669835,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),90.13887702669835,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),91.31051649245516,0.028473443091474565,(2512685.478022703+0j),92.0966523437455,3.215276048984602e-07,(8443.592573555234+0j)
-17.784997248343995,90.00834561162978,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),90.00834561162978,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),91.15733349270478,0.028473443091474565,(2512685.478022703+0j),92.0966172635453,3.215276048984602e-07,(8443.592573555234+0j)
-17.767302292511086,89.87900679265528,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),89.87900679265528,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),91.00552148347525,0.028473443091474565,(2512685.478022703+0j),92.09658142095795,3.215276048984602e-07,(8443.592573555234+0j)
-17.749607336678178,89.75086454596604,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),89.75086454596604,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),90.85508562259551,0.028473443091474565,(2512685.478022703+0j),92.09654479085731,3.215276048984602e-07,(8443.592573555234+0j)
-17.73191238084527,89.62392286052331,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),89.62392286052331,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),90.7060310864876,0.028473443091474565,(2512685.478022703+0j),92.09650734700091,3.215276048984602e-07,(8443.592573555234+0j)
-17.714217425012365,89.49818573810367,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),89.49818573810367,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),90.55836307024056,0.028473443091474565,(2512685.478022703+0j),92.09646906196716,3.215276048984602e-07,(8443.592573555234+0j)
-17.696522469179452,89.37365719334434,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),89.37365719334434,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),90.41208678768452,0.028473443091474565,(2512685.478022703+0j),92.09642990708845,3.215276048984602e-07,(8443.592573555234+0j)
-17.678827513346544,89.25034125378873,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),89.25034125378873,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),90.26720747146493,0.028473443091474565,(2512685.478022703+0j),92.09638985237952,3.215276048984602e-07,(8443.592573555234+0j)
-17.661132557513636,89.12824195993215,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),89.12824195993215,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),90.12373037311755,0.028473443091474565,(2512685.478022703+0j),92.09634886646089,3.215276048984602e-07,(8443.592573555234+0j)
-17.643437601680727,89.00736336526775,0.03207304762753489,(-1260564.535298129+2350048.3810585137j),89.00736336526775,0.03207304762753489,(-1260564.535298129-2350048.3810585137j),89.98166076314331,0.028473443091474565,(2512685.478022703+0j),92.09630691647686,3.215276048984602e-07,(8443.592573555234+0j)
