p0 [Pa],cbt [m],n0 [m^-3],uz0 [m/s],u0 [m/s],rp [m],rrmse,Tp [K]
7256.1500924763595,0.039319247376837355,1e+19,4984915.991887302,104263.12627021123,0.013598975260159962,0.3557826825626286,2320900.0
7385.323745545914,0.03949609907899403,1e+19,5047888.67850795,104263.12627021123,0.013598975260159962,0.3548433984708833,2369252.0833333335
7514.2501747397455,0.039670627262215055,1e+19,5110391.391318994,104263.12627021123,0.013598975260159962,0.35392227318164693,2417604.1666666665
7642.936526945252,0.03984290795970841,1e+19,5172437.231099886,104263.12627021123,0.013598975260159962,0.3530186346753913,2465956.25
7771.389607557969,0.04001301327980237,1e+19,5234038.681294955,104263.12627021123,0.013598975260159962,0.3521318477449838,2514308.3333333335
7899.615903000895,0.040181011679907466,1e+19,5295207.648465961,104263.12627021123,0.013598975260159962,0.35126131133738103,2562660.4166666665
8027.621601364147,0.040346968216560954,1e+19,5355955.499379092,104263.12627021123,0.013598975260159962,0.35040645613236604,2611012.5
8155.412611354504,0.04051094477404755,1e+19,5416293.095063765,104263.12627021123,0.013598975260159962,0.3495667423333046,2659364.5833333335
8282.994579720773,0.04067300027378533,1e+19,5476230.822140993,104263.12627021123,0.013598975260159962,0.34874165764792187,2707716.6666666665
8410.372907302377,0.040833190866408804,1e+19,5535778.621685102,104263.12627021123,0.013598975260159962,0.3479307154397254,2756068.75
8537.552763832657,0.04099157010825806,1e+19,5594946.015853006,104263.12627021123,0.013598975260159962,0.34713345303299414,2804420.8333333335
8664.539101612496,0.04114818912378436,1e+19,5653742.132489154,104263.12627021123,0.013598975260159962,0.3463494301561951,2852772.916666667
8791.336668158325,0.04130309675521577,1e+19,5712175.727891805,104263.12627021123,0.013598975260159962,0.34557822751042916,2901125.0
8917.95001791743,0.041456339700678066,1e+19,5770255.207906486,104263.12627021123,0.013598975260159962,0.3448194454509932,2949477.0833333335
9044.38352313305,0.041607962641834716,1e+19,5827988.647494908,104263.12627021123,0.013598975260159962,0.34407270277145724,2997829.166666667
9170.641383933618,0.04175800836199675,1e+19,5885383.808912366,104263.12627021123,0.013598975260159962,0.34333763558079045,3046181.25
9296.72763771319,0.04190651785555478,1e+19,5942448.158613162,104263.12627021123,0.013598975260159962,0.3426138962650957,3094533.3333333335
9422.646167863066,0.042053530429495736,1e+19,5999188.882991589,104263.12627021123,0.013598975260159962,0.3419011525263819,3142885.416666667
9548.40071190817,0.04219908379768808,1e+19,6055612.903055237,104263.12627021123,0.013598975260159962,0.3411990864915802,3191237.5
9673.99486909814,0.04234321416855493,1e+19,6111726.888118381,104263.12627021123,0.013598975260159962,0.3405073938857243,3239589.5833333335
9799.432107496106,0.0424859563266872,1e+19,6167537.268594309,104263.12627021123,0.013598975260159962,0.33982578326379076,3287941.666666667
9924.715770606092,0.0426273437089008,1e+19,6223050.247958465,104263.12627021123,0.013598975260159962,0.33915397529626784,3336293.75
10049.849083574885,0.042767408475189776,1e+19,6278271.81394733,104263.12627021123,0.013598975260159962,0.3384917021039839,3384645.8333333335
10174.835159001488,0.04290618157498615,1e+19,6333207.749052113,104263.12627021123,0.013598975260159962,0.33783870663816,3432997.916666667
10299.677002384069,0.043043692809098345,1e+19,6387863.640360985,104263.12627021123,0.013598975260159962,0.33719474210203415,3481350.0
13129.051654904053,0.04219908379768812,1.375e+19,4404082.111312902,104263.12627021123,0.013598975260159962,0.3411990864915804,2320900.0
13366.447229983198,0.04239690333446071,1.375e+19,4460138.924678211,104263.12627021123,0.013598975260159962,0.34025062368031117,2369252.0833333335
13603.438150389431,0.04259212209365803,1.375e+19,4515781.493404644,104263.12627021123,0.013598975260159962,0.33932102312864476,2417604.1666666665
13840.036129125609,0.04278482512872887,1.375e+19,4571021.316258852,104263.12627021123,0.013598975260159962,0.3384095754526265,2465956.25
14076.252318799294,0.04297509310595981,1.375e+19,4625869.351537741,104263.12627021123,0.013598975260159962,0.33751561054322987,2514308.3333333335
14312.097348615263,0.043163002610483184,1.375e+19,4680336.052422075,104263.12627021123,0.013598975260159962,0.33663849470839075,2562660.4166666665
14547.58135827817,0.04334862642558786,1.375e+19,4734431.39939263,104263.12627021123,0.013598975260159962,0.3357776280713839,2611012.5
14782.714029117065,0.04353203378811471,1.375e+19,4788164.930003034,104263.12627021123,0.013598975260159962,0.33493244219835916,2659364.5833333335
1323.6254771753436,0.010595605793669508,1.375e+19,2383637.380379054,104263.12627021123,0.013598975260159962,0.3321424737164171,2707716.6666666665
1392.9436544540297,0.010844215922525168,1.375e+19,2432874.934136086,104263.12627021123,0.013598975260159962,0.32571788027633153,2756068.75
1462.7346369957163,0.011086983649801771,1.375e+19,2481441.1402200297,104263.12627021123,0.013598975260159962,0.3196527065544343,2804420.8333333335
1533.0078937431172,0.01132434874525121,1.375e+19,2529390.6068308083,104263.12627021123,0.013598975260159962,0.3139122044683742,2852772.916666667
1603.7694727642481,0.011556692935848356,1.375e+19,2576770.2050120574,104263.12627021123,0.013598975260159962,0.3084664934260049,2901125.0
1675.0227809190353,0.011784350471965615,1.375e+19,2623620.5289588664,104263.12627021123,0.013598975260159962,0.30328966987084277,2949477.0833333335
1746.7691716153226,0.012007616315851278,1.375e+19,2669977.021682216,104263.12627021123,0.013598975260159962,0.29835911573127544,2997829.166666667
1819.0083935004252,0.012226752577347356,1.375e+19,2715870.854871744,104263.12627021123,0.013598975260159962,0.29365495392995067,3046181.25
1891.7389367942017,0.012441993636324988,1.375e+19,2761329.625270529,104263.12627021123,0.013598975260159962,0.28915961438903376,3094533.3333333335
1964.958303221852,0.01265355026660858,1.375e+19,2806377.9120738623,104263.12627021123,0.013598975260159962,0.28485748426785784,3142885.416666667
2038.6632182044202,0.012861612990597392,1.375e+19,2851037.7276751962,104263.12627021123,0.013598975260159962,0.28073462325547116,3191237.5
2112.8497989138846,0.013066354833998161,1.375e+19,2895328.8855826175,104263.12627021123,0.013598975260159962,0.27677852970518046,3239589.5833333335
2187.5136882490633,0.013267933607605562,1.375e+19,2939269.303304029,104263.12627021123,0.013598975260159962,0.2729779469340504,3287941.666666667
2262.6501622536857,0.013466493812427902,1.375e+19,2982875.253662943,104263.12627021123,0.013598975260159962,0.2693227015671106,3336293.75
2338.2542166645867,0.013662168242052408,1.375e+19,3026161.574843233,104263.12627021123,0.013598975260159962,0.26580356768022184,3384645.8333333335
2414.3206369348068,0.013855079339551815,1.375e+19,3069141.8471236504,104263.12627021123,0.013598975260159962,0.26241215188700656,3432997.916666667
2490.8440550815826,0.014045340353803037,1.375e+19,3111828.5425157314,104263.12627021123,0.013598975260159962,0.25914079556025194,3481350.0
2140.2771634699416,0.011804824684641769,1.75e+19,2064742.951160716,104263.12627021123,0.013598975260159962,0.30283157814777756,2320900.0
2256.6659862805604,0.01208776715476505,1.75e+19,2110992.4762764396,104263.12627021123,0.013598975260159962,0.29662328707928565,2369252.0833333335
2374.070892335711,0.012364161076062282,1.75e+19,2156666.1997198276,104263.12627021123,0.013598975260159962,0.29077114601932885,2417604.1666666665
2492.4864451721346,0.012634464951829497,1.75e+19,2201806.341270425,104263.12627021123,0.013598975260159962,0.2852409806751107,2465956.25
2611.904387103848,0.012899080973249362,1.75e+19,2246449.4938486074,104263.12627021123,0.013598975260159962,0.28000327472593883,2514308.3333333335
2732.3143921781484,0.013158364690598286,1.75e+19,2290627.640097826,104263.12627021123,0.013598975260159962,0.27503234885511524,2562660.4166666665
2853.7046296669664,0.013412632610551832,1.75e+19,2334368.944759263,104263.12627021123,0.013598975260159962,0.27030571584428303,2611012.5
2976.062189688484,0.013662168242052387,1.75e+19,2377698.3802339667,104263.12627021123,0.013598975260159962,0.2658035676802227,2659364.5833333335
3099.373407146197,0.013907226964078987,1.75e+19,2420638.226184614,104263.12627021123,0.013598975260159962,0.2615083631009565,2707716.6666666665
3223.6241097771135,0.014148039986627461,1.75e+19,2463208.472744014,104263.12627021123,0.013598975260159962,0.2574044925712267,2756068.75
3348.7998089591115,0.014384817605090661,1.75e+19,2505427.149055679,104263.12627021123,0.013598975260159962,0.25347800366420065,2804420.8333333335
3474.8858469388733,0.014617751897813412,1.75e+19,2547310.5933304317,104263.12627021123,0.013598975260159962,0.2497163740824586,2852772.916666667
3601.8675106070673,0.014847018980310687,1.75e+19,2588873.67662758,104263.12627021123,0.013598975260159962,0.24610832262343124,2901125.0
3729.7301194056763,0.015072780903143923,1.75e+19,2630129.989676429,104263.12627021123,0.013598975260159962,0.24264365064321053,2949477.0833333335
3858.459093105409,0.015295187260864835,1.75e+19,2671091.999922691,104263.12627021123,0.013598975260159962,0.23931310823949514,2997829.166666667
3988.040003831108,0.015514376564776899,1.75e+19,2711771.1843949473,104263.12627021123,0.013598975260159962,0.23610828062480185,3046181.25
4118.458615702789,0.015730477421176173,1.75e+19,2752178.1427883785,104263.12627021123,0.013598975260159962,0.2330214911090559,3094533.3333333335
4249.70091470096,0.01594360954825571,1.75e+19,2792322.694250628,104263.12627021123,0.013598975260159962,0.230045717836809,3142885.416666667
4381.753130791276,0.01615388465831948,1.75e+19,2832213.9606536264,104263.12627021123,0.013598975260159962,0.22717452198553703,3191237.5
4514.60175390487,0.016361407226859134,1.75e+19,2871860.4385913974,104263.12627021123,0.013598975260159962,0.22440198556920257,3239589.5833333335
4648.233545033819,0.016566275166051202,1.75e+19,2911270.0619188426,104263.12627021123,0.013598975260159962,0.2217226573352945,3287941.666666667
4782.635543440161,0.016768580417070574,1.75e+19,2950450.256311633,104263.12627021123,0.013598975260159962,0.21913150551610364,3336293.75
4917.795070773419,0.016968409473097013,1.75e+19,2989407.9870616086,104263.12627021123,0.013598975260159962,0.21662387641238584,3384645.8333333335
5053.699732732107,0.01716584384286997,1.75e+19,3028149.801109789,104263.12627021123,0.013598975260159962,0.2141954579621618,3432997.916666667
5190.337418778937,0.017360960463014625,1.75e+19,3066681.864148421,104263.12627021123,0.013598975260159962,0.21184224758849024,3481350.0
4110.092701088103,0.014451754452732191,2.125e+19,2073175.4883118505,104263.12627021123,0.013598975260159962,0.25238694511809123,2320900.0
4296.522977830695,0.014732833402656175,2.125e+19,2114931.6610005694,104263.12627021123,0.013598975260159962,0.24789381219865772,2369252.0833333335
4484.54395979786,0.015008626224594914,2.125e+19,2156307.1996670286,104263.12627021123,0.013598975260159962,0.24361948227233388,2417604.1666666665
4674.123820926112,0.015279409361847403,2.125e+19,2197321.125300958,104263.12627021123,0.013598975260159962,0.2395467397748984,2465956.25
4865.231103964971,0.015545434320173971,2.125e+19,2237990.61859784,104263.12627021123,0.013598975260159962,0.2356602543812103,2514308.3333333335
5057.8348539711005,0.015806930872048774,2.125e+19,2278331.2736685257,104263.12627021123,0.013598975260159962,0.23194631687748107,2562660.4166666665
5251.90471300959,0.016064109734350393,2.125e+19,2318357.3079095166,104263.12627021123,0.013598975260159962,0.22839261993217844,2611012.5
5447.410985644545,0.016317164823185227,2.125e+19,2358081.736956693,104263.12627021123,0.013598975260159962,0.2249880748403337,2659364.5833333335
5644.324682359765,0.016566275166051202,2.125e+19,2397516.521580223,104263.12627021123,0.013598975260159962,0.22172265733529417,2707716.6666666665
5842.61754627152,0.016811606534015224,2.125e+19,2436672.691844357,104263.12627021123,0.013598975260159962,0.21858727707196945,2756068.75
6042.26206718983,0.01705331284334452,2.125e+19,2475560.452703887,104263.12627021123,0.013598975260159962,0.21557366652709287,2804420.8333333335
6243.231486113245,0.017291537365932887,2.125e+19,2514189.2743345345,104263.12627021123,0.013598975260159962,0.21267428593397258,2852772.916666667
6445.499792517554,0.017526413780086823,2.125e+19,2552567.9698247043,104263.12627021123,0.013598975260159962,0.20988224154134077,2901125.0
6649.041716251163,0.0177580670871896,2.125e+19,2590704.762338024,104263.12627021123,0.013598975260159962,0.20719121500878268,2949477.0833333335
6853.832715434879,0.01798661441502162,2.125e+19,2628607.343452266,104263.12627021123,0.013598975260159962,0.20459540216121205,2997829.166666667
7059.848961446092,0.018212165724768924,2.125e+19,2666282.924062883,104263.12627021123,0.013598975260159962,0.2020894596488711,3046181.25
7267.0673218237225,0.01843482443576959,2.125e+19,2703738.2789881867,104263.12627021123,0.013598975260159962,0.1996684583171882,3094533.3333333335
7475.465341742975,0.018654687979657584,2.125e+19,2740979.786213033,104263.12627021123,0.013598975260159962,0.19732784229739972,3142885.416666667
7685.021224561336,0.01887184829363136,2.125e+19,2778013.4615470385,104263.12627021123,0.013598975260159962,0.19506339299552886,3191237.5
7895.713811825263,0.019086392261009097,2.125e+19,2814844.989343805,104263.12627021123,0.013598975260159962,0.1928711972923808,3239589.5833333335
8107.522563036802,0.01929840210594989,2.125e+19,2851479.7498221183,104263.12627021123,0.013598975260159962,0.1907476193775228,3287941.666666667
8320.427535411834,0.019507955748170866,2.125e+19,2887922.843444316,104263.12627021123,0.013598975260159962,0.18868927573052746,3336293.75
8534.409363803681,0.019715127122616,2.125e+19,2924179.11273599,104263.12627021123,0.013598975260159962,0.18669301283745296,3384645.8333333335
8749.449240926937,0.01991998646831723,2.125e+19,2960253.1618734156,104263.12627021123,0.013598975260159962,0.18475588729202855,3432997.916666667
8965.528897978651,0.020122600590080728,2.125e+19,2996149.3743163557,104263.12627021123,0.013598975260159962,0.18287514798256072,3481350.0
6749.99373221233,0.01668218629844303,2.5e+19,2053580.4666922577,104263.12627021123,0.013598975260159962,0.2202315087382432,2320900.0
7025.495544987446,0.01696840947309701,2.5e+19,2092585.590943126,104263.12627021123,0.013598975260159962,0.2166238764123858,2369252.0833333335
7303.170124835967,0.01724974472415081,2.5e+19,2131282.215557753,104263.12627021123,0.013598975260159962,0.21317795322073885,2417604.1666666665
7582.967252634314,0.017526413780086767,2.5e+19,2169682.774350995,104263.12627021123,0.013598975260159962,0.20988224154134275,2465956.25
7864.838382824567,0.017798621439769194,2.5e+19,2207798.721414104,104263.12627021123,0.013598975260159962,0.20672636971655245,2514308.3333333335
8148.7366121210725,0.018066557406927385,2.5e+19,2245640.6444663443,104263.12627021123,0.013598975260159962,0.2037009520352138,2562660.4166666665
8434.616639095673,0.018330397868514682,2.5e+19,2283218.3613949753,104263.12627021123,0.013598975260159962,0.20079746974150417,2611012.5
8722.434717655995,0.018590306860246097,2.5e+19,2320541.0029613995,104263.12627021123,0.013598975260159962,0.1980081693859493,2659364.5833333335
9012.148606648749,0.018846437454111853,2.5e+19,2357617.0840463126,104263.12627021123,0.013598975260159962,0.19532597556883874,2707716.6666666665
9303.717517242287,0.019098932796048004,2.5e+19,2394454.5653393366,104263.12627021123,0.013598975260159962,0.19274441569731396,2756068.75
9597.10205930798,0.01934792701674667,2.5e+19,2431060.9070140156,104263.12627021123,0.013598975260159962,0.19025755482513299,2804420.8333333335
