p0 [Pa],cbt [m],n0 [m^-3],uz0 [m/s],u0 [m/s],rp [m],Tp [K],rrmse
100.27499465448605,0.0076825726888895595,1.75e+19,3134507.4953629514,2336.6923389930867,0.01895726369053996,2997829.166666667,0.05247778760289763
97.96696875891786,0.00836222290920026,1.75e+19,3165323.59297727,2336.6923389930867,0.01895726369053996,3046181.25,0.044592275097965636
97.69032166072475,0.008903243262969533,1.75e+19,3195961.6744414745,2336.6923389930867,0.01895726369053996,3094533.3333333335,0.04195097296300832
98.4589434113601,0.009374157840678923,1.75e+19,3226425.6106422995,2336.6923389930867,0.01895726369053996,3142885.416666667,0.04212715522463844
99.8940192153626,0.009800473320490076,1.75e+19,3256719.1294341106,2336.6923389930867,0.01895726369053996,3191237.5,0.043898719439968585
101.79863512744585,0.01019504373647665,1.75e+19,3286845.823022002,2336.6923389930867,0.01895726369053996,3239589.5833333335,0.04653609823679631
104.05375974259935,0.010565430689621461,1.75e+19,3316809.15485908,2336.6923389930867,0.01895726369053996,3287941.666666667,0.04960959812441819
106.58064122822928,0.010916532096301949,1.75e+19,3346612.466096404,2336.6923389930867,0.01895726369053996,3336293.75,0.052872937558499776
109.32399601535361,0.011251738096788482,1.75e+19,3376258.981620839,2336.6923389930867,0.01895726369053996,3384645.8333333335,0.05618711641876499
112.24337539106254,0.011573512302910033,1.75e+19,3405751.8157125344,2336.6923389930867,0.01895726369053996,3432997.916666667,0.05947451452204786
115.30827307742655,0.011883713183112451,1.75e+19,3435093.9773510983,2336.6923389930867,0.01895726369053996,3481350.0,0.06269254979899146
113.70051326583709,0.007623916475245343,2.125e+19,2579540.705729652,2336.6923389930867,0.01895726369053996,2465956.25,0.05338608088794819
111.80609431967952,0.00844549817792552,2.125e+19,2610350.456680367,2336.6923389930867,0.01895726369053996,2514308.3333333335,0.04397440157068431
112.82383526651347,0.009077730756257034,2.125e+19,2640944.7204446536,2336.6923389930867,0.01895726369053996,2562660.4166666665,0.041767690661348986
