Radius (m),,J_phi (MA / m^2)
1.32028307379609,,0.222208695468067
1.3242973439336,,0.166885447212136
1.33069349904195,,0.13253337285498
1.33545282279834,,0.150169907794586
1.34478409536009,,0.161126578660428
1.35445835935763,,0.047103098567693
1.36744439621863,,0.0374379386638153
1.36911044535956,,0.145173242433545
1.37041063696897,,0.252887373892424
1.3722678720769,,0.405772630553762
1.37339021627516,,0.541254247694865
1.37432391518372,,0.645474947863184
1.375635539841,,0.815689740956777
1.37750865418206,,1.05538147211077
1.37881837333136,,1.21517948826525
1.38012936281931,,1.38192202237913
1.38216952669299,,1.5348178651959
1.38640165990917,,1.67047944697924
1.38858791272773,,1.62199485512846
1.39057408720875,,1.47974868467019
1.39201338090046,,1.34788753268475
1.39308745222997,,1.21947746736818
1.39397351343912,,1.06327874405852
1.39486529117221,,0.938330351566222
1.39799604077787,,0.0530948625387717
1.40000063516933,,0.0115442024919807
1.39765050866477,,0.164185977578523
1.39730497655167,,0.275277092618274
1.39695817409991,,0.379423689698612
1.39609497898648,,0.660623736277696
1.39539375205107,,0.827249822681896
1.39643288906768,,0.507865513481469
1.35063019383251,,0.119798227877582
