R (m),J (MA / m^2)
0.0007128135007571,0.0172892422805173
0.0011261261261261,0.043010752688172
0.0017039488827422,0.0803808708971995
0.0021444534969577,0.1224419566416541
0.0026950842647272,0.175018313822223
0.0033783783783783,0.2473118279569899
0.00390647195382,0.2906862996194732
0.0042368504144817,0.3485202925180992
0.0047297297297297,0.4408602150537639
0.005007733489359,0.4904764569056339
0.0053381119500206,0.5377951783681456
0.0056306306306306,0.612903225806452
0.0058887427177901,0.6639784356015097
0.0061089950248979,0.7165547927820786
0.0065315315315315,0.795698924731183
0.0067697519462213,0.8427380500154431
0.0069900042533291,0.9005720429140682
0.0078828828828829,1.0000000000000004
0.0083115180959758,1.04778584301966
0.0088621488637452,1.100362200200229
0.0096846846846846,1.1827956989247317
0.0104039150134997,1.2212878217155363
0.0115051765490387,1.2475760003058207
0.0132882882882882,1.301075268817205
0.0141482042343321,1.3159252646405597
0.0155798442305327,1.3211829003586164
0.0170114842267334,1.3106676289225023
0.0186936936936936,1.301075268817205
0.0200950165262424,1.2896370860502753
0.0214165303688891,1.2843794503322186
0.0226279180579819,1.2791218146141614
0.0236486486486486,1.2580645161290325
0.0245000626683981,1.2318030931516502
0.0252709457432754,1.1949996431252523
0.0263513513513513,1.1397849462365597
0.0273633426607994,1.1108774716363423
0.0282443518892305,1.0740740216099445
0.0288288288288288,1.021505376344086
0.0294557395783233,0.9689213072488072
0.0300063703460928,0.911087314350182
0.0306306306306306,0.827956989247312
0.0309975057280778,0.7743887856807041
0.0319819819819819,0.6774193548387104
0.0322088934171707,0.632432621293169
0.0329797764920479,0.5693409926764867
0.0335585585585585,0.4946236559139785
0.0338607857204791,0.4326424640070083
0.0343012903346946,0.3748084711083832
0.0349099099099099,0.3118279569892479
0.0352924257166797,0.2486252138750195
0.0356228041773414,0.1907912209763935
0.0358108108108108,0.139784946236559
0.0361734349451108,0.0751232351791433
0.0364864864864864,0.0107526881720438
