R (m),			J (MA / m^2)
-0.0018018018018017973, -0.10752688172043001
0.0011261261261261424, 0.043010752688172005
0.0033783783783783855, 0.24731182795698992
0.004729729729729737, 0.44086021505376394
0.0056306306306306425, 0.612903225806452
0.006531531531531534, 0.795698924731183
0.0078828828828829, 1.0000000000000004
0.009684684684684697, 1.1827956989247315
0.013288288288288291, 1.301075268817205
0.018693693693693697, 1.301075268817205
0.023648648648648657, 1.2580645161290325
0.02882882882882884, 1.021505376344086
0.02635135135135136, 1.1397849462365595
0.030630630630630637, 0.827956989247312
0.03198198198198199, 0.6774193548387104
0.03355855855855856, 0.4946236559139785
0.034909909909909914, 0.3118279569892479
0.035810810810810806, 0.13978494623655902
0.03648648648648649, 0.01075268817204389
-0.0010492049561051237, -0.0773482006445061
-0.0004985741883356543, -0.05106002205422211
0.00016218273298769514, -0.014256572027823822
0.0007128135007571645, 0.017289242280517314
0.0017039488827422095, 0.08038087089719959
0.002144453496957785, 0.12244195664165414
0.0026950842647272544, 0.175018313822223
0.003906471953820087, 0.29068629961947323
0.004236850414481755, 0.34852029251809924
0.005007733489359012, 0.4904764569056339
0.005338111950020694, 0.5377951783681456
0.005888742717790163, 0.6639784356015097
0.006108995024897951, 0.7165547927820786
0.006769751946221314, 0.8427380500154431
0.006990004253329102, 0.9005720429140682
0.008311518095975828, 1.04778584301966
0.008862148863745284, 1.100362200200229
0.010403915013499798, 1.2212878217155363
0.011505176549038723, 1.2475760003058207
0.014148204234332176, 1.3159252646405597
0.015579844230532797, 1.3211829003586164
0.017011484226733417, 1.3106676289225025
0.020095016526242418, 1.2896370860502753
0.021416530368889145, 1.2843794503322186
0.022627918057981977, 1.2791218146141614
0.02450006266839816, 1.2318030931516502
0.025270945743275416, 1.1949996431252523
0.0273633426607994, 1.1108774716363423
0.02824435188923055, 1.0740740216099445
0.02945573957832337, 0.9689213072488072
0.03000637034609284, 0.9110873143501821
0.030997505728077884, 0.7743887856807041
0.0322088934171707, 0.632432621293169
0.03297977649204796, 0.5693409926764867
0.03386078572047911, 0.43264246400700834
0.03430129033469469, 0.3748084711083832
0.03529242571667973, 0.24862521387501957
0.0356228041773414, 0.19079122097639356
0.03617343494511088, 0.07512323517914332
0.036834191866434246, -0.05631765777227837
0.03727469648064981, -0.10363637923479008
0.0376050749413115, -0.1614703721334152
0.038045579555527065, -0.21404672931398405
0.038375958016188746, -0.2771383579306663
0.038926588783958216, -0.3297147151112343
0.039477219551727685, -0.3612605294195763
