#: table_doi: 10.17182/hepdata.156186.v1/t23
#: name: $\Delta y_{ch,Z}$ in PbPb 30-50% for $2 < p_T < 4$ GeV
#: description: The $\Delta y_{ch,Z}$ spectra for events with Z boson $p_{T}^Z > 40$ GeV and charged-hadrons with $2 <p_T < 4$ GeV in PbPb for centrality interval of 30-50% collisions.
#: data_file: $\delta_y_{ch,z}$_in_pbpb_30-50%_for_$2_<_p_t_<_4$_gev.yaml
#: keyword observables: dNchdYZ spectra
#: keyword phrases: Inclusive Z | Rapidity | Azimuthal | Differential
#: keyword reactions: PbPb --> Z+X
#: keyword cmenergies: 5020
#: PTZ,,,40 < $p_{T}^{Z}$ < 350 GeV
#: PTCH,,,2 < $p_{T}^{ch}$ < 4 GeV
#: ABS(YZ),,,$|y_Z|$ < 2.4
#: ABS(ETACH),,,$|\eta^{ch}|$ < 2.4
#: SQRT(S)/NUCLEON,,,5020 GeV
#: RE,,,Pb Pb --> Z + X
#: CENTRALITY,,,30--50%
"$\Delta y_{ch,Z}$","$\Delta y_{ch,Z}$ LOW","$\Delta y_{ch,Z}$ HIGH","$d<N_{ch}>/d(\Delta y_{ch,Z})$",Stat. +,Stat. -,Syst. +,Syst. -
-3.6,-4.0,-3.2,0.0319,0.0626,-0.0626,0.0098,-0.0098
-2.8,-3.2,-2.4,-0.0314,0.0944,-0.0944,0.0099,-0.0099
-2.0,-2.4,-1.6,-0.0679,0.1181,-0.1181,0.0108,-0.0108
-1.2000000000000002,-1.6,-0.8,-0.4212,0.1344,-0.1344,0.0102,-0.0102
-0.4,-0.8,0.0,-0.2926,0.1497,-0.1497,0.0108,-0.0108
0.4,0.0,0.8,-0.2926,0.1497,-0.1497,0.0108,-0.0108
1.2000000000000002,0.8,1.6,-0.4212,0.1344,-0.1344,0.0102,-0.0102
2.0,1.6,2.4,-0.0679,0.1181,-0.1181,0.0108,-0.0108
2.8,2.4,3.2,-0.0314,0.0944,-0.0944,0.0099,-0.0099
3.6,3.2,4.0,0.0319,0.0626,-0.0626,0.0098,-0.0098

