#: table_doi: 10.17182/hepdata.156186.v1/t5
#: name: $\Delta\phi_{ch,Z}$ in PbPb 0-30% for $2 < p_T < 4$ GeV
#: description: The $\Delta\phi_{ch,Z}$ spectra for events with Z boson $p_{T}^Z > 40$ GeV and charged-hadrons with $2 <p_T < 4$ GeV in PbPb for centrality interval of 0-30% collisions.
#: data_file: $\delta\phi_{ch,z}$_in_pbpb_0-30%_for_$2_<_p_t_<_4$_gev.yaml
#: keyword observables: dNchdPhichZ spectra
#: keyword phrases: Inclusive Z | Rapidity | Azimuthal | Differential
#: keyword reactions: PbPb --> Z+X
#: keyword cmenergies: 5020
#: PTZ,,,40 < $p_{T}^{Z}$ < 350 GeV
#: PTCH,,,2 < $p_{T}^{ch}$ < 4 GeV
#: ABS(YZ),,,$|y_Z|$ < 2.4
#: ABS(ETACH),,,$|\eta^{ch}|$ < 2.4
#: SQRT(S)/NUCLEON,,,5020 GeV
#: RE,,,Pb Pb --> Z + X
#: CENTRALITY,,,0--30%
"$\Delta\phi_{ch,Z}$","$\Delta\phi_{ch,Z}$ LOW","$\Delta\phi_{ch,Z}$ HIGH","$d<N_{ch}>/d(\Delta\phi_{ch,Z})$",Stat. +,Stat. -,Syst. +,Syst. -
-1.414,-1.571,-1.257,-0.4273,0.2445,-0.2445,0.1820,-0.1820
-1.0995,-1.257,-0.942,-0.7798,0.2432,-0.2432,0.1875,-0.1875
-0.7849999999999999,-0.942,-0.628,-0.6332,0.2436,-0.2436,0.1821,-0.1821
-0.471,-0.628,-0.314,-0.2757,0.2449,-0.2449,0.1915,-0.1915
-0.157,-0.314,0.0,-0.3134,0.2447,-0.2447,0.1989,-0.1989
0.157,0.0,0.314,-0.3134,0.2447,-0.2447,0.1989,-0.1989
0.471,0.314,0.628,-0.2757,0.2449,-0.2449,0.1915,-0.1915
0.7849999999999999,0.628,0.942,-0.6332,0.2436,-0.2436,0.1821,-0.1821
1.0995,0.942,1.257,-0.7798,0.2432,-0.2432,0.1875,-0.1875
1.414,1.257,1.571,-0.4273,0.2445,-0.2445,0.1820,-0.1820
1.728,1.571,1.885,-0.3779,0.2452,-0.2452,0.1839,-0.1839
2.042,1.885,2.199,0.0125,0.2459,-0.2459,0.1822,-0.1822
2.356,2.199,2.513,0.3260,0.2475,-0.2475,0.2011,-0.2011
2.67,2.513,2.827,1.0880,0.2501,-0.2501,0.1822,-0.1822
2.9844999999999997,2.827,3.142,1.1422,0.2508,-0.2508,0.2239,-0.2239
3.299,3.142,3.456,1.1422,0.2508,-0.2508,0.2239,-0.2239
3.613,3.456,3.77,1.0880,0.2501,-0.2501,0.1822,-0.1822
3.9269999999999996,3.77,4.084,0.3260,0.2475,-0.2475,0.2011,-0.2011
4.241,4.084,4.398,0.0125,0.2459,-0.2459,0.1822,-0.1822
4.555,4.398,4.712,-0.3779,0.2452,-0.2452,0.1839,-0.1839

