#: table_doi: 10.17182/hepdata.156186.v1/t15
#: name: $\Delta\phi_{ch,Z}$ in PbPb 0-90% for $4 < p_T < 10$ GeV
#: description: The $\Delta\phi_{ch,Z}$ spectra for events with Z boson $p_{T}^Z > 40$ GeV and charged-hadrons with $4 <p_T < 10$ GeV in PbPb for centrality interval of 0-90% collisions.
#: data_file: $\delta\phi_{ch,z}$_in_pbpb_0-90%_for_$4_<_p_t_<_10$_gev.yaml
#: keyword observables: dNchdPhichZ spectra
#: keyword phrases: Inclusive Z | Rapidity | Azimuthal | Differential
#: keyword reactions: PbPb --> Z+X
#: keyword cmenergies: 5020
#: PTZ,,,40 < $p_{T}^{Z}$ < 350 GeV
#: PTCH,,,4 < $p_{T}^{ch}$ < 10 GeV
#: ABS(YZ),,,$|y_Z|$ < 2.4
#: ABS(ETACH),,,$|\eta^{ch}|$ < 2.4
#: SQRT(S)/NUCLEON,,,5020 GeV
#: RE,,,Pb Pb --> Z + X
#: CENTRALITY,,,0--90%
"$\Delta\phi_{ch,Z}$","$\Delta\phi_{ch,Z}$ LOW","$\Delta\phi_{ch,Z}$ HIGH","$d<N_{ch}>/d(\Delta\phi_{ch,Z})$",Stat. +,Stat. -,Syst. +,Syst. -
-1.415,-1.57,-1.26,-0.1675,0.0446,-0.0446,0.1250,-0.1250
-1.1,-1.26,-0.94,-0.1242,0.0449,-0.0449,0.1283,-0.1283
-0.7849999999999999,-0.94,-0.63,-0.1242,0.0452,-0.0452,0.1275,-0.1275
-0.47,-0.63,-0.31,-0.2347,0.0438,-0.0438,0.1482,-0.1482
-0.155,-0.31,0.0,-0.2146,0.0439,-0.0439,0.1409,-0.1409
0.155,0.0,0.31,-0.2146,0.0439,-0.0439,0.1409,-0.1409
0.47,0.31,0.63,-0.2347,0.0438,-0.0438,0.1482,-0.1482
0.7849999999999999,0.63,0.94,-0.1242,0.0452,-0.0452,0.1275,-0.1275
1.1,0.94,1.26,-0.1242,0.0449,-0.0449,0.1283,-0.1283
1.415,1.26,1.57,-0.1675,0.0446,-0.0446,0.1250,-0.1250
1.725,1.57,1.88,-0.1704,0.0442,-0.0442,0.1268,-0.1268
2.04,1.88,2.2,-0.0502,0.0463,-0.0463,0.1229,-0.1229
2.355,2.2,2.51,-0.0300,0.0468,-0.0468,0.1562,-0.1562
2.67,2.51,2.83,0.1579,0.0497,-0.0497,0.1295,-0.1295
2.9850000000000003,2.83,3.14,0.9214,0.0593,-0.0593,0.1847,-0.1847
3.3,3.14,3.46,0.9214,0.0593,-0.0593,0.1847,-0.1847
3.615,3.46,3.77,0.1579,0.0497,-0.0497,0.1295,-0.1295
3.925,3.77,4.08,-0.0300,0.0468,-0.0468,0.1562,-0.1562
4.24,4.08,4.4,-0.0502,0.0463,-0.0463,0.1229,-0.1229
4.555,4.4,4.71,-0.1704,0.0442,-0.0442,0.1268,-0.1268

