#: table_doi: 10.17182/hepdata.156186.v1/t22
#: name: $\Delta y_{ch,Z}$ in PbPb 30-50% for $1 < p_T < 2$ GeV
#: description: The $\Delta y_{ch,Z}$ spectra for events with Z boson $p_{T}^Z > 40$ GeV and charged-hadrons with $1 <p_T < 2$ GeV in PbPb for centrality interval of 30-50% collisions.
#: data_file: $\delta_y_{ch,z}$_in_pbpb_30-50%_for_$1_<_p_t_<_2$_gev.yaml
#: keyword observables: dNchdYZ spectra
#: keyword phrases: Inclusive Z | Rapidity | Azimuthal | Differential
#: keyword reactions: PbPb --> Z+X
#: keyword cmenergies: 5020
#: PTZ,,,40 < $p_{T}^{Z}$ < 350 GeV
#: PTCH,,,1 < $p_{T}^{ch}$ < 2 GeV
#: ABS(YZ),,,$|y_Z|$ < 2.4
#: ABS(ETACH),,,$|\eta^{ch}|$ < 2.4
#: SQRT(S)/NUCLEON,,,5020 GeV
#: RE,,,Pb Pb --> Z + X
#: CENTRALITY,,,30--50%
"$\Delta y_{ch,Z}$","$\Delta y_{ch,Z}$ LOW","$\Delta y_{ch,Z}$ HIGH","$d<N_{ch}>/d(\Delta y_{ch,Z})$",Stat. +,Stat. -,Syst. +,Syst. -
-3.6,-4.0,-3.2,-0.0922,0.1386,-0.1386,0.0851,-0.0851
-2.8,-3.2,-2.4,-0.2836,0.2162,-0.2162,0.0862,-0.0862
-2.0,-2.4,-1.6,-0.9436,0.2660,-0.2660,0.0921,-0.0921
-1.2000000000000002,-1.6,-0.8,-0.1736,0.3119,-0.3119,0.0864,-0.0864
-0.4,-0.8,0.0,-0.6401,0.3433,-0.3433,0.0880,-0.0880
0.4,0.0,0.8,-0.6401,0.3433,-0.3433,0.0880,-0.0880
1.2000000000000002,0.8,1.6,-0.1736,0.3119,-0.3119,0.0864,-0.0864
2.0,1.6,2.4,-0.9436,0.2660,-0.2660,0.0921,-0.0921
2.8,2.4,3.2,-0.2836,0.2162,-0.2162,0.0862,-0.0862
3.6,3.2,4.0,-0.0922,0.1386,-0.1386,0.0851,-0.0851

