#: table_doi: 10.17182/hepdata.156186.v1/t16
#: name: $\Delta y_{ch,Z}$ spectra in pp for $1 < p_T < 2$ GeV
#: description: The $\Delta y_{ch,Z}$ spectra for events with Z boson $p_{T}^Z > 40$ GeV and charged-hadrons with $1 <p_T < 2$ GeV in pp collisions.
#: data_file: $\delta_y_{ch,z}$_spectra_in_pp_for_$1_<_p_t_<_2$_gev.yaml
#: keyword observables: dNchdEtachZ spectra
#: keyword phrases: Inclusive Z | Rapidity | Azimuthal | Differential
#: keyword reactions: pp --> Z+X
#: keyword cmenergies: 5020
#: PTZ,,,40 < $p_{T}^{Z}$ < 350 GeV
#: PTCH,,,1 < $p_{T}^{ch}$ < 2 GeV
#: ABS(YZ),,,$|y_Z|$ < 2.4
#: ABS(ETACH),,,$|\eta^{ch}|$ < 2.4
#: SQRT(S)/NUCLEON,,,5020 GeV
#: RE,,,pp --> Z + X
"$\Delta y_{ch,Z}$","$\Delta y_{ch,Z}$ LOW","$\Delta y_{ch,Z}$ HIGH","$d<N_{ch}>/d(\Delta y_{ch,Z})$",Stat. +,Stat. -,Syst. +,Syst. -
-3.8,-4.0,-3.6,-0.0117,0.0087,-0.0087,0.0139,-0.0139
-3.4000000000000004,-3.6,-3.2,-0.0497,0.0116,-0.0116,0.0167,-0.0167
-3.0,-3.2,-2.8,-0.0527,0.0154,-0.0154,0.0243,-0.0243
-2.5999999999999996,-2.8,-2.4,-0.0845,0.0181,-0.0181,0.0166,-0.0166
-2.2,-2.4,-2.0,-0.1219,0.0205,-0.0205,0.0504,-0.0504
-1.8,-2.0,-1.6,-0.1730,0.0225,-0.0225,0.0283,-0.0283
-1.4,-1.6,-1.2,-0.2499,0.0236,-0.0236,0.0406,-0.0406
-1.0,-1.2,-0.8,-0.2811,0.0256,-0.0256,0.0372,-0.0372
-0.6000000000000001,-0.8,-0.4,-0.3148,0.0265,-0.0265,0.0468,-0.0468
-0.2,-0.4,0.0,-0.3402,0.0274,-0.0274,0.0836,-0.0836
0.2,0.0,0.4,-0.3402,0.0274,-0.0274,0.0836,-0.0836
0.6000000000000001,0.4,0.8,-0.3148,0.0265,-0.0265,0.0468,-0.0468
1.0,0.8,1.2,-0.2811,0.0256,-0.0256,0.0372,-0.0372
1.4,1.2,1.6,-0.2499,0.0236,-0.0236,0.0406,-0.0406
1.8,1.6,2.0,-0.1730,0.0225,-0.0225,0.0283,-0.0283
2.2,2.0,2.4,-0.1219,0.0205,-0.0205,0.0504,-0.0504
2.5999999999999996,2.4,2.8,-0.0845,0.0181,-0.0181,0.0166,-0.0166
3.0,2.8,3.2,-0.0527,0.0154,-0.0154,0.0243,-0.0243
3.4000000000000004,3.2,3.6,-0.0497,0.0116,-0.0116,0.0167,-0.0167
3.8,3.6,4.0,-0.0117,0.0087,-0.0087,0.0139,-0.0139

