#: table_doi: 10.17182/hepdata.156186.v1/t25
#: name: $\Delta y_{ch,Z}$ in PbPb 50-90% for $1 < p_T < 2$ GeV
#: description: The $\Delta y_{ch,Z}$ spectra for events with Z boson $p_{T}^Z > 40$ GeV and charged-hadrons with $1 <p_T < 2$ GeV in PbPb for centrality interval of 50-90% collisions.
#: data_file: $\delta_y_{ch,z}$_in_pbpb_50-90%_for_$1_<_p_t_<_2$_gev.yaml
#: keyword observables: dNchdYZ spectra
#: keyword phrases: Inclusive Z | Rapidity | Azimuthal | Differential
#: keyword reactions: PbPb --> Z+X
#: keyword cmenergies: 5020
#: PTZ,,,40 < $p_{T}^{Z}$ < 350 GeV
#: PTCH,,,1 < $p_{T}^{ch}$ < 2 GeV
#: ABS(YZ),,,$|y_Z|$ < 2.4
#: ABS(ETACH),,,$|\eta^{ch}|$ < 2.4
#: SQRT(S)/NUCLEON,,,5020 GeV
#: RE,,,Pb Pb --> Z + X
#: CENTRALITY,,,50--90%
"$\Delta y_{ch,Z}$","$\Delta y_{ch,Z}$ LOW","$\Delta y_{ch,Z}$ HIGH","$d<N_{ch}>/d(\Delta y_{ch,Z})$",Stat. +,Stat. -,Syst. +,Syst. -
-3.6,-4.0,-3.2,-0.1538,0.1188,-0.1188,0.1392,-0.1392
-2.8,-3.2,-2.4,-0.6464,0.2088,-0.2088,0.1403,-0.1403
-2.0,-2.4,-1.6,0.4054,0.3072,-0.3072,0.1391,-0.1391
-1.2000000000000002,-1.6,-0.8,-0.2247,0.3436,-0.3436,0.1392,-0.1392
-0.4,-0.8,0.0,-0.1251,0.3824,-0.3824,0.1404,-0.1404
0.4,0.0,0.8,-0.1251,0.3824,-0.3824,0.1404,-0.1404
1.2000000000000002,0.8,1.6,-0.2247,0.3436,-0.3436,0.1392,-0.1392
2.0,1.6,2.4,0.4054,0.3072,-0.3072,0.1391,-0.1391
2.8,2.4,3.2,-0.6464,0.2088,-0.2088,0.1403,-0.1403
3.6,3.2,4.0,-0.1538,0.1188,-0.1188,0.1392,-0.1392

