#: table_doi: 10.17182/hepdata.156186.v1/t27
#: name: $\Delta y_{ch,Z}$ in PbPb 50-90% for $4 < p_T < 10$ GeV
#: description: The $\Delta y_{ch,Z}$ spectra for events with Z boson $p_{T}^Z > 40$ GeV and charged-hadrons with $4 <p_T < 10$ GeV in PbPb for centrality interval of 50-90% collisions.
#: data_file: $\delta_y_{ch,z}$_in_pbpb_50-90%_for_$4_<_p_t_<_10$_gev.yaml
#: keyword observables: dNchdYZ spectra
#: keyword phrases: Inclusive Z | Rapidity | Azimuthal | Differential
#: keyword reactions: PbPb --> Z+X
#: keyword cmenergies: 5020
#: PTZ,,,40 < $p_{T}^{Z}$ < 350 GeV
#: PTCH,,,4 < $p_{T}^{ch}$ < 10 GeV
#: ABS(YZ),,,$|y_Z|$ < 2.4
#: ABS(ETACH),,,$|\eta^{ch}|$ < 2.4
#: SQRT(S)/NUCLEON,,,5020 GeV
#: RE,,,Pb Pb --> Z + X
#: CENTRALITY,,,50--90%
"$\Delta y_{ch,Z}$","$\Delta y_{ch,Z}$ LOW","$\Delta y_{ch,Z}$ HIGH","$d<N_{ch}>/d(\Delta y_{ch,Z})$",Stat. +,Stat. -,Syst. +,Syst. -
-3.6,-4.0,-3.2,-0.0200,0.0157,-0.0157,0.0464,-0.0464
-2.8,-3.2,-2.4,-0.0925,0.0181,-0.0181,0.0469,-0.0469
-2.0,-2.4,-1.6,-0.1021,0.0384,-0.0384,0.0486,-0.0486
-1.2000000000000002,-1.6,-0.8,-0.0948,0.0484,-0.0484,0.0469,-0.0469
-0.4,-0.8,0.0,-0.0746,0.0640,-0.0640,0.0489,-0.0489
0.4,0.0,0.8,-0.0746,0.0640,-0.0640,0.0489,-0.0489
1.2000000000000002,0.8,1.6,-0.0948,0.0484,-0.0484,0.0469,-0.0469
2.0,1.6,2.4,-0.1021,0.0384,-0.0384,0.0486,-0.0486
2.8,2.4,3.2,-0.0925,0.0181,-0.0181,0.0469,-0.0469
3.6,3.2,4.0,-0.0200,0.0157,-0.0157,0.0464,-0.0464

