#: table_doi: 10.17182/hepdata.156186.v1/t18
#: name: $\Delta y_{ch,Z}$ spectra in pp for $4 < p_T < 10$ GeV
#: description: The $\Delta y_{ch,Z}$ spectra for events with Z boson $p_{T}^Z > 40$ GeV and charged-hadrons with $4 <p_T < 10$ GeV in pp collisions.
#: data_file: $\delta_y_{ch,z}$_spectra_in_pp_for_$4_<_p_t_<_10$_gev.yaml
#: keyword observables: dNchdEtachZ spectra
#: keyword phrases: Inclusive Z | Rapidity | Azimuthal | Differential
#: keyword reactions: pp --> Z+X
#: keyword cmenergies: 5020
#: PTZ,,,40 < $p_{T}^{Z}$ < 350 GeV
#: PTCH,,,4 < $p_{T}^{ch}$ < 10 GeV
#: ABS(YZ),,,$|y_Z|$ < 2.4
#: ABS(ETACH),,,$|\eta^{ch}|$ < 2.4
#: SQRT(S)/NUCLEON,,,5020 GeV
#: RE,,,pp --> Z + X
"$\Delta y_{ch,Z}$","$\Delta y_{ch,Z}$ LOW","$\Delta y_{ch,Z}$ HIGH","$d<N_{ch}>/d(\Delta y_{ch,Z})$",Stat. +,Stat. -,Syst. +,Syst. -
-3.8,-4.0,-3.6,-0.0098,0.0020,-0.0020,0.0043,-0.0043
-3.4000000000000004,-3.6,-3.2,-0.0274,0.0033,-0.0033,0.0054,-0.0054
-3.0,-3.2,-2.8,-0.0341,0.0052,-0.0052,0.0129,-0.0129
-2.5999999999999996,-2.8,-2.4,-0.0700,0.0056,-0.0056,0.0083,-0.0083
-2.2,-2.4,-2.0,-0.1053,0.0063,-0.0063,0.0062,-0.0062
-1.8,-2.0,-1.6,-0.1265,0.0077,-0.0077,0.0081,-0.0081
-1.4,-1.6,-1.2,-0.1531,0.0080,-0.0080,0.0053,-0.0053
-1.0,-1.2,-0.8,-0.1944,0.0080,-0.0080,0.0272,-0.0272
-0.6000000000000001,-0.8,-0.4,-0.1958,0.0098,-0.0098,0.0067,-0.0067
-0.2,-0.4,0.0,-0.2038,0.0107,-0.0107,0.0172,-0.0172
0.2,0.0,0.4,-0.2038,0.0107,-0.0107,0.0172,-0.0172
0.6000000000000001,0.4,0.8,-0.1958,0.0098,-0.0098,0.0067,-0.0067
1.0,0.8,1.2,-0.1944,0.0080,-0.0080,0.0272,-0.0272
1.4,1.2,1.6,-0.1531,0.0080,-0.0080,0.0053,-0.0053
1.8,1.6,2.0,-0.1265,0.0077,-0.0077,0.0081,-0.0081
2.2,2.0,2.4,-0.1053,0.0063,-0.0063,0.0062,-0.0062
2.5999999999999996,2.4,2.8,-0.0700,0.0056,-0.0056,0.0083,-0.0083
3.0,2.8,3.2,-0.0341,0.0052,-0.0052,0.0129,-0.0129
3.4000000000000004,3.2,3.6,-0.0274,0.0033,-0.0033,0.0054,-0.0054
3.8,3.6,4.0,-0.0098,0.0020,-0.0020,0.0043,-0.0043

