#: table_doi: 10.17182/hepdata.156186.v1/t10
#: name: $\Delta\phi_{ch,Z}$ in PbPb 50-90% for $1 < p_T < 2$ GeV
#: description: The $\Delta\phi_{ch,Z}$ spectra for events with Z boson $p_{T}^Z > 40$ GeV and charged-hadrons with $1 <p_T < 2$ GeV in PbPb for centrality interval of 50-90% collisions.
#: data_file: $\delta\phi_{ch,z}$_in_pbpb_50-90%_for_$1_<_p_t_<_2$_gev.yaml
#: keyword observables: dNchdPhichZ spectra
#: keyword phrases: Inclusive Z | Rapidity | Azimuthal | Differential
#: keyword reactions: PbPb --> Z+X
#: keyword cmenergies: 5020
#: PTZ,,,40 < $p_{T}^{Z}$ < 350 GeV
#: PTCH,,,1 < $p_{T}^{ch}$ < 2 GeV
#: ABS(YZ),,,$|y_Z|$ < 2.4
#: ABS(ETACH),,,$|\eta^{ch}|$ < 2.4
#: SQRT(S)/NUCLEON,,,5020 GeV
#: RE,,,Pb Pb --> Z + X
#: CENTRALITY,,,50--90%
"$\Delta\phi_{ch,Z}$","$\Delta\phi_{ch,Z}$ LOW","$\Delta\phi_{ch,Z}$ HIGH","$d<N_{ch}>/d(\Delta\phi_{ch,Z})$",Stat. +,Stat. -,Syst. +,Syst. -
-1.414,-1.571,-1.257,-0.9956,0.7136,-0.7136,0.2622,-0.2622
-1.0995,-1.257,-0.942,-0.0032,0.7357,-0.7357,0.2573,-0.2573
-0.7849999999999999,-0.942,-0.628,0.1314,0.7540,-0.7540,0.2573,-0.2573
-0.471,-0.628,-0.314,-0.0591,0.7359,-0.7359,0.2573,-0.2573
-0.157,-0.314,0.0,-0.8370,0.7410,-0.7410,0.2610,-0.2610
0.157,0.0,0.314,-0.8370,0.7410,-0.7410,0.2610,-0.2610
0.471,0.314,0.628,-0.0591,0.7359,-0.7359,0.2573,-0.2573
0.7849999999999999,0.628,0.942,0.1314,0.7540,-0.7540,0.2573,-0.2573
1.0995,0.942,1.257,-0.0032,0.7357,-0.7357,0.2573,-0.2573
1.414,1.257,1.571,-0.9956,0.7136,-0.7136,0.2622,-0.2622
1.728,1.571,1.885,-0.0471,0.7268,-0.7268,0.2573,-0.2573
2.042,1.885,2.199,-1.0739,0.7117,-0.7117,0.2630,-0.2630
2.356,2.199,2.513,0.3456,0.7522,-0.7522,0.2578,-0.2578
2.67,2.513,2.827,-0.0395,0.7497,-0.7497,0.2572,-0.2572
2.9844999999999997,2.827,3.142,1.4857,0.7887,-0.7887,0.2677,-0.2677
3.299,3.142,3.456,1.4857,0.7887,-0.7887,0.2677,-0.2677
3.613,3.456,3.77,-0.0395,0.7497,-0.7497,0.2572,-0.2572
3.9269999999999996,3.77,4.084,0.3456,0.7522,-0.7522,0.2578,-0.2578
4.241,4.084,4.398,-1.0739,0.7117,-0.7117,0.2630,-0.2630
4.555,4.398,4.712,-0.0471,0.7268,-0.7268,0.2573,-0.2573

