#: table_doi: 10.17182/hepdata.156186.v1/t11
#: name: $\Delta\phi_{ch,Z}$ in PbPb 50-90% for $2 < p_T < 4$ GeV
#: description: The $\Delta\phi_{ch,Z}$ spectra for events with Z boson $p_{T}^Z > 40$ GeV and charged-hadrons with $2 <p_T < 4$ GeV in PbPb for centrality interval of 50-90% collisions.
#: data_file: $\delta\phi_{ch,z}$_in_pbpb_50-90%_for_$2_<_p_t_<_4$_gev.yaml
#: keyword observables: dNchdPhichZ spectra
#: keyword phrases: Inclusive Z | Rapidity | Azimuthal | Differential
#: keyword reactions: PbPb --> Z+X
#: keyword cmenergies: 5020
#: PTZ,,,40 < $p_{T}^{Z}$ < 350 GeV
#: PTCH,,,2 < $p_{T}^{ch}$ < 4 GeV
#: ABS(YZ),,,$|y_Z|$ < 2.4
#: ABS(ETACH),,,$|\eta^{ch}|$ < 2.4
#: SQRT(S)/NUCLEON,,,5020 GeV
#: RE,,,Pb Pb --> Z + X
#: CENTRALITY,,,50--90%
"$\Delta\phi_{ch,Z}$","$\Delta\phi_{ch,Z}$ LOW","$\Delta\phi_{ch,Z}$ HIGH","$d<N_{ch}>/d(\Delta\phi_{ch,Z})$",Stat. +,Stat. -,Syst. +,Syst. -
-1.414,-1.571,-1.257,-0.4524,0.3115,-0.3115,0.2622,-0.2622
-1.0995,-1.257,-0.942,-0.7265,0.2919,-0.2919,0.2573,-0.2573
-0.7849999999999999,-0.942,-0.628,-0.4988,0.3158,-0.3158,0.2573,-0.2573
-0.471,-0.628,-0.314,-0.5808,0.3104,-0.3104,0.2573,-0.2573
-0.157,-0.314,0.0,-0.4610,0.3216,-0.3216,0.2610,-0.2610
0.157,0.0,0.314,-0.4610,0.3216,-0.3216,0.2610,-0.2610
0.471,0.314,0.628,-0.5808,0.3104,-0.3104,0.2573,-0.2573
0.7849999999999999,0.628,0.942,-0.4988,0.3158,-0.3158,0.2573,-0.2573
1.0995,0.942,1.257,-0.7265,0.2919,-0.2919,0.2573,-0.2573
1.414,1.257,1.571,-0.4524,0.3115,-0.3115,0.2622,-0.2622
1.728,1.571,1.885,-0.2561,0.3237,-0.3237,0.2573,-0.2573
2.042,1.885,2.199,0.4245,0.3620,-0.3620,0.2630,-0.2630
2.356,2.199,2.513,0.2291,0.3490,-0.3490,0.2578,-0.2578
2.67,2.513,2.827,0.3665,0.3688,-0.3688,0.2572,-0.2572
2.9844999999999997,2.827,3.142,1.7422,0.4369,-0.4369,0.2677,-0.2677
3.299,3.142,3.456,1.7422,0.4369,-0.4369,0.2677,-0.2677
3.613,3.456,3.77,0.3665,0.3688,-0.3688,0.2572,-0.2572
3.9269999999999996,3.77,4.084,0.2291,0.3490,-0.3490,0.2578,-0.2578
4.241,4.084,4.398,0.4245,0.3620,-0.3620,0.2630,-0.2630
4.555,4.398,4.712,-0.2561,0.3237,-0.3237,0.2573,-0.2573

