#: table_doi: 10.17182/hepdata.156186.v1/t14
#: name: $\Delta\phi_{ch,Z}$ in PbPb 0-90% for $2 < p_T < 4$ GeV
#: description: The $\Delta\phi_{ch,Z}$ spectra for events with Z boson $p_{T}^Z > 40$ GeV and charged-hadrons with $2 <p_T < 4$ GeV in PbPb for centrality interval of 0-90% collisions.
#: data_file: $\delta\phi_{ch,z}$_in_pbpb_0-90%_for_$2_<_p_t_<_4$_gev.yaml
#: keyword observables: dNchdPhichZ spectra
#: keyword phrases: Inclusive Z | Rapidity | Azimuthal | Differential
#: keyword reactions: PbPb --> Z+X
#: keyword cmenergies: 5020
#: PTZ,,,40 < $p_{T}^{Z}$ < 350 GeV
#: PTCH,,,2 < $p_{T}^{ch}$ < 4 GeV
#: ABS(YZ),,,$|y_Z|$ < 2.4
#: ABS(ETACH),,,$|\eta^{ch}|$ < 2.4
#: SQRT(S)/NUCLEON,,,5020 GeV
#: RE,,,Pb Pb --> Z + X
#: CENTRALITY,,,0--90%
"$\Delta\phi_{ch,Z}$","$\Delta\phi_{ch,Z}$ LOW","$\Delta\phi_{ch,Z}$ HIGH","$d<N_{ch}>/d(\Delta\phi_{ch,Z})$",Stat. +,Stat. -,Syst. +,Syst. -
-1.414,-1.571,-1.257,-0.4686,0.2077,-0.2077,0.1250,-0.1250
-1.0995,-1.257,-0.942,-0.7135,0.2066,-0.2066,0.1283,-0.1283
-0.7849999999999999,-0.942,-0.628,-0.6163,0.2067,-0.2067,0.1275,-0.1275
-0.471,-0.628,-0.314,-0.2394,0.2079,-0.2079,0.1482,-0.1482
-0.157,-0.314,0.0,-0.3746,0.2077,-0.2077,0.1409,-0.1409
0.157,0.0,0.314,-0.3746,0.2077,-0.2077,0.1409,-0.1409
0.471,0.314,0.628,-0.2394,0.2079,-0.2079,0.1482,-0.1482
0.7849999999999999,0.628,0.942,-0.6163,0.2067,-0.2067,0.1275,-0.1275
1.0995,0.942,1.257,-0.7135,0.2066,-0.2066,0.1283,-0.1283
1.414,1.257,1.571,-0.4686,0.2077,-0.2077,0.1250,-0.1250
1.728,1.571,1.885,-0.1853,0.2085,-0.2085,0.1268,-0.1268
2.042,1.885,2.199,0.0282,0.2090,-0.2090,0.1229,-0.1229
2.356,2.199,2.513,0.3206,0.2104,-0.2104,0.1562,-0.1562
2.67,2.513,2.827,0.9404,0.2124,-0.2124,0.1295,-0.1295
2.9844999999999997,2.827,3.142,1.2025,0.2135,-0.2135,0.1847,-0.1847
3.299,3.142,3.456,1.2025,0.2135,-0.2135,0.1847,-0.1847
3.613,3.456,3.77,0.9404,0.2124,-0.2124,0.1295,-0.1295
3.9269999999999996,3.77,4.084,0.3206,0.2104,-0.2104,0.1562,-0.1562
4.241,4.084,4.398,0.0282,0.2090,-0.2090,0.1229,-0.1229
4.555,4.398,4.712,-0.1853,0.2085,-0.2085,0.1268,-0.1268

