#: table_doi: 10.17182/hepdata.156186.v1/t3
#: name: $\Delta\phi_{ch,Z}$ spectra in pp for $4 < p_T < 10$ GeV
#: description: The $\Delta\phi_{ch,Z}$ spectra for events with Z boson $p_{T}^Z > 40$ GeV and charged-hadrons with $4 <p_T < 10$ GeV in pp collisions.
#: data_file: $\delta\phi_{ch,z}$_spectra_in_pp_for_$4_<_p_t_<_10$_gev.yaml
#: keyword observables: dNchdPhichZ spectra
#: keyword phrases: Inclusive Z | Rapidity | Azimuthal | Differential
#: keyword reactions: pp --> Z+X
#: keyword cmenergies: 5020
#: PTZ,,,40 < $p_{T}^{Z}$ < 350 GeV
#: PTCH,,,4 < $p_{T}^{ch}$ < 10 GeV
#: ABS(YZ),,,$|y_Z|$ < 2.4
#: ABS(ETACH),,,$|\eta^{ch}|$ < 2.4
#: SQRT(S)/NUCLEON,,,5020 GeV
#: RE,,,pp --> Z + X
"$\Delta\phi_{ch,Z}$","$\Delta\phi_{ch,Z}$ LOW","$\Delta\phi_{ch,Z}$ HIGH","$d<N_{ch}>/d(\Delta\phi_{ch,Z})$",Stat. +,Stat. -,Syst. +,Syst. -
-1.415,-1.57,-1.26,-0.2593,0.0140,-0.0140,0.0440,-0.0440
-1.1,-1.26,-0.94,-0.2583,0.0138,-0.0138,0.0131,-0.0131
-0.7849999999999999,-0.94,-0.63,-0.2687,0.0134,-0.0134,0.0648,-0.0648
-0.47,-0.63,-0.31,-0.3225,0.0117,-0.0117,0.0597,-0.0597
-0.155,-0.31,0.0,-0.3196,0.0113,-0.0113,0.0637,-0.0637
0.155,0.0,0.31,-0.3196,0.0113,-0.0113,0.0637,-0.0637
0.47,0.31,0.63,-0.3225,0.0117,-0.0117,0.0597,-0.0597
0.7849999999999999,0.63,0.94,-0.2687,0.0134,-0.0134,0.0648,-0.0648
1.1,0.94,1.26,-0.2583,0.0138,-0.0138,0.0131,-0.0131
1.415,1.26,1.57,-0.2593,0.0140,-0.0140,0.0440,-0.0440
1.725,1.57,1.88,-0.1869,0.0168,-0.0168,0.0304,-0.0304
2.04,1.88,2.2,-0.1475,0.0185,-0.0185,0.0281,-0.0281
2.355,2.2,2.51,0.0217,0.0236,-0.0236,0.0381,-0.0381
2.67,2.51,2.83,0.3855,0.0322,-0.0322,0.1094,-0.1094
2.9850000000000003,2.83,3.14,1.3591,0.0480,-0.0480,0.0559,-0.0559
3.3,3.14,3.46,1.3591,0.0480,-0.0480,0.0559,-0.0559
3.615,3.46,3.77,0.3855,0.0322,-0.0322,0.1094,-0.1094
3.925,3.77,4.08,0.0217,0.0236,-0.0236,0.0381,-0.0381
4.24,4.08,4.4,-0.1475,0.0185,-0.0185,0.0281,-0.0281
4.555,4.4,4.71,-0.1869,0.0168,-0.0168,0.0304,-0.0304

