#: table_doi: 10.17182/hepdata.156186.v1/t13
#: name: $\Delta\phi_{ch,Z}$ in PbPb 0-90% for $1 < p_T < 2$ GeV
#: description: The $\Delta\phi_{ch,Z}$ spectra for events with Z boson $p_{T}^Z > 40$ GeV and charged-hadrons with $1 <p_T < 2$ GeV in PbPb for centrality interval of 0-90% collisions.
#: data_file: $\delta\phi_{ch,z}$_in_pbpb_0-90%_for_$1_<_p_t_<_2$_gev.yaml
#: keyword observables: dNchdPhichZ spectra
#: keyword phrases: Inclusive Z | Rapidity | Azimuthal | Differential
#: keyword reactions: PbPb --> Z+X
#: keyword cmenergies: 5020
#: PTZ,,,40 < $p_{T}^{Z}$ < 350 GeV
#: PTCH,,,1 < $p_{T}^{ch}$ < 2 GeV
#: ABS(YZ),,,$|y_Z|$ < 2.4
#: ABS(ETACH),,,$|\eta^{ch}|$ < 2.4
#: SQRT(S)/NUCLEON,,,5020 GeV
#: RE,,,Pb Pb --> Z + X
#: CENTRALITY,,,0--90%
"$\Delta\phi_{ch,Z}$","$\Delta\phi_{ch,Z}$ LOW","$\Delta\phi_{ch,Z}$ HIGH","$d<N_{ch}>/d(\Delta\phi_{ch,Z})$",Stat. +,Stat. -,Syst. +,Syst. -
-1.414,-1.571,-1.257,-0.7496,0.4831,-0.4831,0.1250,-0.1250
-1.0995,-1.257,-0.942,-0.9493,0.4829,-0.4829,0.1283,-0.1283
-0.7849999999999999,-0.942,-0.628,-0.8826,0.4827,-0.4827,0.1275,-0.1275
-0.471,-0.628,-0.314,-1.7374,0.4823,-0.4823,0.1482,-0.1482
-0.157,-0.314,0.0,-1.4949,0.4813,-0.4813,0.1409,-0.1409
0.157,0.0,0.314,-1.4949,0.4813,-0.4813,0.1409,-0.1409
0.471,0.314,0.628,-1.7374,0.4823,-0.4823,0.1482,-0.1482
0.7849999999999999,0.628,0.942,-0.8826,0.4827,-0.4827,0.1275,-0.1275
1.0995,0.942,1.257,-0.9493,0.4829,-0.4829,0.1283,-0.1283
1.414,1.257,1.571,-0.7496,0.4831,-0.4831,0.1250,-0.1250
1.728,1.571,1.885,-0.8658,0.4823,-0.4823,0.1268,-0.1268
2.042,1.885,2.199,0.5917,0.4854,-0.4854,0.1229,-0.1229
2.356,2.199,2.513,2.0182,0.4871,-0.4871,0.1562,-0.1562
2.67,2.513,2.827,1.0109,0.4863,-0.4863,0.1295,-0.1295
2.9844999999999997,2.827,3.142,2.7980,0.4891,-0.4891,0.1847,-0.1847
3.299,3.142,3.456,2.7980,0.4891,-0.4891,0.1847,-0.1847
3.613,3.456,3.77,1.0109,0.4863,-0.4863,0.1295,-0.1295
3.9269999999999996,3.77,4.084,2.0182,0.4871,-0.4871,0.1562,-0.1562
4.241,4.084,4.398,0.5917,0.4854,-0.4854,0.1229,-0.1229
4.555,4.398,4.712,-0.8658,0.4823,-0.4823,0.1268,-0.1268

